Index,Date_2017,Hour,Throughput_2017,Week Number,Weekday,Date_2018,Throughput_2018,Date_2019,Throughput_2019
1521,,10:00:00,,21,Sunday,,,5/26/19,2
1522,,11:00:00,,21,Sunday,,,5/26/19,3
1523,,12:00:00,,21,Sunday,,,5/26/19,4
1524,,14:00:00,,21,Sunday,5/27/18,1,5/26/19,1
1525,,16:00:00,,21,Sunday,5/27/18,2,,
1526,,20:00:00,,21,Sunday,,,5/26/19,1
1527,,7:00:00,,21,Thursday,5/24/18,5,5/23/19,16
1528,,8:00:00,,21,Thursday,5/24/18,3,5/23/19,2
1529,,10:00:00,,21,Thursday,5/24/18,1,,
1530,,12:00:00,,21,Thursday,,,5/23/19,3
1531,,13:00:00,,21,Thursday,5/24/18,1,5/23/19,4
1532,,14:00:00,,21,Thursday,,,5/23/19,5
1533,5/25/17,15:00:00,2,21,Thursday,5/24/18,1,,
1534,,17:00:00,,21,Thursday,5/24/18,2,,
1535,,18:00:00,,21,Thursday,5/24/18,5,5/23/19,16
1536,,19:00:00,,21,Thursday,5/24/18,4,5/23/19,4
1537,,21:00:00,,21,Thursday,5/24/18,1,5/23/19,1
1538,,5:00:00,,21,Tuesday,5/22/18,1,,
1539,,7:00:00,,21,Tuesday,,,5/21/19,5
1540,5/23/17,9:00:00,6,21,Tuesday,5/22/18,3,,
1541,,10:00:00,,21,Tuesday,,,5/21/19,3
1542,,11:00:00,,21,Tuesday,,,5/21/19,2
1543,,12:00:00,,21,Tuesday,5/22/18,2,,
1544,5/23/17,13:00:00,3,21,Tuesday,5/22/18,1,5/21/19,1
1545,,14:00:00,,21,Tuesday,,,5/21/19,10
1546,,16:00:00,,21,Tuesday,,,5/21/19,2
1547,,17:00:00,,21,Tuesday,,,5/21/19,1
1548,,18:00:00,,21,Tuesday,5/22/18,4,,
1549,,20:00:00,,21,Tuesday,5/22/18,1,,
1550,,21:00:00,,21,Tuesday,5/22/18,5,5/21/19,1
1551,,7:00:00,,21,Wednesday,5/23/18,2,5/22/19,3
1552,,8:00:00,,21,Wednesday,,,5/22/19,2
1553,,9:00:00,,21,Wednesday,5/23/18,2,,
1554,,10:00:00,,21,Wednesday,5/23/18,4,,
1555,,11:00:00,,21,Wednesday,5/23/18,1,,
1556,5/24/17,12:00:00,2,21,Wednesday,,,5/22/19,1
1557,5/24/17,14:00:00,3,21,Wednesday,5/23/18,6,5/22/19,3
1558,5/24/17,15:00:00,1,21,Wednesday,5/23/18,3,5/22/19,1
1559,,16:00:00,,21,Wednesday,5/23/18,6,5/22/19,4
1560,,18:00:00,,21,Wednesday,,,5/22/19,2
1561,5/24/17,20:00:00,2,21,Wednesday,,,5/22/19,4
1562,,6:00:00,,22,Friday,,,5/31/19,1
1563,,7:00:00,,22,Friday,6/1/18,1,5/31/19,2
1564,6/2/17,8:00:00,2,22,Friday,,,5/31/19,1
1565,,9:00:00,,22,Friday,,,5/31/19,7
1566,,10:00:00,,22,Friday,6/1/18,6,5/31/19,3
1567,,12:00:00,,22,Friday,,,5/31/19,5
1568,,15:00:00,,22,Friday,,,5/31/19,2
1569,,17:00:00,,22,Friday,,,5/31/19,13
1570,,20:00:00,,22,Friday,6/1/18,2,,
1571,,21:00:00,,22,Friday,6/1/18,6,5/31/19,7
1572,,6:00:00,,22,Monday,,,5/27/19,1
1573,,7:00:00,,22,Monday,,,5/27/19,2
1574,,8:00:00,,22,Monday,,,5/27/19,3
1575,,9:00:00,,22,Monday,5/28/18,2,,
1576,,10:00:00,,22,Monday,,,5/27/19,8
1577,,11:00:00,,22,Monday,5/28/18,1,5/27/19,6
1578,,13:00:00,,22,Monday,5/28/18,1,,
1579,,15:00:00,,22,Monday,5/28/18,4,,
1580,,16:00:00,,22,Monday,5/28/18,2,5/27/19,2
1581,,18:00:00,,22,Monday,,,5/27/19,2
1582,,21:00:00,,22,Monday,,,5/27/19,1
1583,,6:00:00,,22,Saturday,6/2/18,1,,
1584,,7:00:00,,22,Saturday,,,6/1/19,2
1585,,8:00:00,,22,Saturday,,,6/1/19,1
1586,,9:00:00,,22,Saturday,,,6/1/19,7
1587,6/3/17,10:00:00,2,22,Saturday,6/2/18,1,,
1588,,12:00:00,,22,Saturday,6/2/18,4,,
1589,,13:00:00,,22,Saturday,,,6/1/19,3
1590,,14:00:00,,22,Saturday,6/2/18,4,6/1/19,3
1591,,15:00:00,,22,Saturday,6/2/18,4,6/1/19,3
1592,,16:00:00,,22,Saturday,,,6/1/19,2
1593,,17:00:00,,22,Saturday,6/2/18,9,,
1594,,18:00:00,,22,Saturday,6/2/18,3,6/1/19,2
1595,,19:00:00,,22,Saturday,6/2/18,2,,
1596,,9:00:00,,22,Sunday,,,6/2/19,1
1597,,10:00:00,,22,Sunday,6/3/18,12,6/2/19,1
1598,,11:00:00,,22,Sunday,6/3/18,2,,
