Index,Date_2015,Hour,Throughput_2015,Week Number,Weekday
360,3/6/15,18:00:00,38,10,Friday
361,3/7/15,5:00:00,36,10,Saturday
362,3/7/15,6:00:00,152,10,Saturday
363,3/7/15,7:00:00,71,10,Saturday
364,3/7/15,17:00:00,94,10,Saturday
365,3/7/15,18:00:00,69,10,Saturday
366,3/8/15,5:00:00,19,10,Sunday
367,3/8/15,6:00:00,192,10,Sunday
368,3/8/15,7:00:00,125,10,Sunday
369,3/8/15,8:00:00,55,10,Sunday
370,3/8/15,16:00:00,108,10,Sunday
371,3/8/15,17:00:00,53,10,Sunday
372,3/9/15,5:00:00,19,11,Monday
373,3/9/15,6:00:00,182,11,Monday
374,3/9/15,7:00:00,47,11,Monday
375,3/9/15,17:00:00,80,11,Monday
376,3/9/15,18:00:00,75,11,Monday
377,3/10/15,5:00:00,23,11,Tuesday
378,3/10/15,6:00:00,135,11,Tuesday
379,3/10/15,7:00:00,76,11,Tuesday
380,3/10/15,9:00:00,230,11,Tuesday
381,3/10/15,16:00:00,95,11,Tuesday
382,3/10/15,17:00:00,41,11,Tuesday
383,3/11/15,5:00:00,19,11,Wednesday
384,3/11/15,6:00:00,187,11,Wednesday
385,3/11/15,7:00:00,53,11,Wednesday
386,3/11/15,16:00:00,122,11,Wednesday
387,3/11/15,17:00:00,54,11,Wednesday
388,3/12/15,5:00:00,18,11,Thursday
389,3/12/15,6:00:00,204,11,Thursday
390,3/12/15,7:00:00,33,11,Thursday
391,3/12/15,9:00:00,161,11,Thursday
392,3/12/15,17:00:00,120,11,Thursday
393,3/12/15,18:00:00,48,11,Thursday
394,3/13/15,5:00:00,44,11,Friday
395,3/13/15,6:00:00,146,11,Friday
396,3/13/15,7:00:00,63,11,Friday
397,3/13/15,16:00:00,83,11,Friday
398,3/13/15,17:00:00,74,11,Friday
399,3/14/15,5:00:00,31,11,Saturday
400,3/14/15,6:00:00,116,11,Saturday
401,3/14/15,7:00:00,123,11,Saturday
402,3/14/15,16:00:00,114,11,Saturday
403,3/14/15,17:00:00,54,11,Saturday
404,3/15/15,5:00:00,12,11,Sunday
405,3/15/15,6:00:00,116,11,Sunday
406,3/15/15,7:00:00,185,11,Sunday
407,3/15/15,8:00:00,58,11,Sunday
408,3/15/15,16:00:00,136,11,Sunday
409,3/15/15,17:00:00,28,11,Sunday
410,3/16/15,5:00:00,22,12,Monday
411,3/16/15,6:00:00,145,12,Monday
412,3/16/15,7:00:00,93,12,Monday
413,3/16/15,16:00:00,98,12,Monday
414,3/16/15,17:00:00,81,12,Monday
415,3/17/15,5:00:00,23,12,Tuesday
416,3/17/15,6:00:00,122,12,Tuesday
417,3/17/15,7:00:00,84,12,Tuesday
418,3/17/15,8:00:00,11,12,Tuesday
