Index,Date_2015,Hour,Throughput_2015,Week Number,Weekday
241,1/26/15,18:00:00,113,5,Monday
242,1/26/15,19:00:00,118,5,Monday
243,1/26/15,20:00:00,171,5,Monday
244,1/26/15,21:00:00,167,5,Monday
245,1/27/15,7:00:00,31,5,Tuesday
246,1/27/15,8:00:00,28,5,Tuesday
247,1/27/15,9:00:00,41,5,Tuesday
248,1/27/15,10:00:00,52,5,Tuesday
249,1/27/15,11:00:00,49,5,Tuesday
250,1/27/15,12:00:00,72,5,Tuesday
251,1/27/15,13:00:00,94,5,Tuesday
252,1/27/15,14:00:00,73,5,Tuesday
253,1/27/15,15:00:00,52,5,Tuesday
254,1/27/15,16:00:00,63,5,Tuesday
255,1/27/15,17:00:00,97,5,Tuesday
256,1/27/15,18:00:00,76,5,Tuesday
257,1/27/15,19:00:00,113,5,Tuesday
258,1/27/15,20:00:00,159,5,Tuesday
259,1/27/15,21:00:00,126,5,Tuesday
260,1/28/15,6:00:00,9,5,Wednesday
261,1/28/15,7:00:00,21,5,Wednesday
262,1/28/15,8:00:00,56,5,Wednesday
263,1/28/15,9:00:00,124,5,Wednesday
264,1/28/15,10:00:00,115,5,Wednesday
265,1/28/15,11:00:00,146,5,Wednesday
266,1/28/15,12:00:00,67,5,Wednesday
267,1/28/15,13:00:00,133,5,Wednesday
268,1/28/15,14:00:00,111,5,Wednesday
269,1/28/15,15:00:00,104,5,Wednesday
270,1/28/15,16:00:00,46,5,Wednesday
271,1/28/15,17:00:00,64,5,Wednesday
272,1/28/15,18:00:00,59,5,Wednesday
273,1/28/15,19:00:00,94,5,Wednesday
274,1/28/15,20:00:00,173,5,Wednesday
275,1/28/15,21:00:00,171,5,Wednesday
276,1/29/15,6:00:00,8,5,Thursday
277,1/29/15,7:00:00,19,5,Thursday
278,1/29/15,8:00:00,84,5,Thursday
279,1/29/15,9:00:00,67,5,Thursday
280,1/29/15,10:00:00,110,5,Thursday
281,1/29/15,11:00:00,74,5,Thursday
282,1/29/15,12:00:00,139,5,Thursday
283,1/29/15,13:00:00,128,5,Thursday
284,1/29/15,14:00:00,77,5,Thursday
285,1/29/15,15:00:00,51,5,Thursday
286,1/29/15,16:00:00,58,5,Thursday
287,1/29/15,17:00:00,59,5,Thursday
288,1/29/15,18:00:00,50,5,Thursday
289,1/29/15,19:00:00,150,5,Thursday
290,1/29/15,20:00:00,157,5,Thursday
291,1/29/15,21:00:00,126,5,Thursday
292,1/30/15,6:00:00,5,5,Friday
293,1/30/15,7:00:00,31,5,Friday
294,1/30/15,8:00:00,44,5,Friday
295,1/30/15,9:00:00,105,5,Friday
296,1/30/15,10:00:00,99,5,Friday
297,1/30/15,11:00:00,38,5,Friday
298,1/30/15,12:00:00,103,5,Friday
299,1/30/15,13:00:00,105,5,Friday
300,1/30/15,14:00:00,64,5,Friday
301,1/30/15,15:00:00,77,5,Friday
302,1/30/15,16:00:00,63,5,Friday
303,1/30/15,17:00:00,79,5,Friday
304,1/30/15,18:00:00,76,5,Friday
305,1/30/15,19:00:00,117,5,Friday
306,1/30/15,20:00:00,109,5,Friday
307,1/30/15,21:00:00,116,5,Friday
308,1/31/15,6:00:00,23,5,Saturday
309,1/31/15,7:00:00,28,5,Saturday
310,1/31/15,8:00:00,43,5,Saturday
311,1/31/15,9:00:00,59,5,Saturday
312,1/31/15,10:00:00,70,5,Saturday
313,1/31/15,11:00:00,28,5,Saturday
314,1/31/15,12:00:00,77,5,Saturday
315,1/31/15,13:00:00,145,5,Saturday
316,1/31/15,14:00:00,122,5,Saturday
317,1/31/15,15:00:00,63,5,Saturday
318,1/31/15,16:00:00,59,5,Saturday
319,1/31/15,17:00:00,73,5,Saturday
320,1/31/15,18:00:00,72,5,Saturday
